region_key,region_name,bidding_zones,country,as_of_date,production_request_mw_estimated,consumption_request_mw_estimated,queue_pattern,source_figure,source_page,confidence_tier,narrative_note
svk_norrbotten,Region Norrbotten,SE1,SE,2025-09-30,3000,20000,consumption_dominant_heavy,Figur 6,35,estimated,"Massive consumption queue driven by industrial transformation (mining + steel decarbonization) along Luleälven and Malmfälten (Gällivare/Kiruna). Source narrative explicitly notes current grid capacity is insufficient ('Dagens nätkapacitet räcker inte för att möta nuvarande planer på storskaliga och elintensiva industrier'). Bar chart MW values are approximate."
svk_vasterbotten,Region Västerbotten,SE1;SE2,SE,2025-09-30,2900,1300,production_dominant_heavy,Figur 8,39,estimated,"Production-heavy queue from extensive wind power applications. Source narrative notes 'nätkapaciteten för effektinmatning i regionen i stort sett är intecknad' — capacity for production injection is essentially fully booked. Bar chart MW values are approximate."
svk_vasternorrland,Region Västernorrland,SE2,SE,2025-09-30,150,1700,consumption_dominant_heavy,Figur 10,40,estimated,"Long-running plans for new power-intensive industry in Sundsvall and Örnsköldsvik. Source narrative explicitly notes that local bottlenecks in the transmission grid make it difficult today to reserve capacity for further power injection. Bar chart MW values are approximate."
svk_jamtland_harjedalen,Region Jämtland Härjedalen,SE2,SE,2025-09-30,400,75,production_dominant_moderate,Figur 12,43,estimated,"Production interest dominated by industrial establishment + new wind power; moderate scale. Largest activity around Östersund municipality. Bar chart MW values are approximate."
svk_gavleborg,Region Gävleborg,SE2;SE3,SE,2025-09-30,1700,2050,balanced,Figur 14,45,estimated,"Both production (wind onshore + offshore) and consumption (hydrogen industry + data centers) queues are large and balanced. NordSyd reinforcements (Hudiksvall, Ljusdal, Ockelbo new connection points) are needed to enable both. Bar chart MW values are approximate."
svk_orebro_dalarna_varmland,Regionerna Örebro län Dalarna och Värmland,SE2;SE3,SE,2025-09-30,4000,2700,production_dominant_heavy,Figur 16,47,estimated,"Production queue heavier than consumption — wind + solar applications across all three regions. Need to increase east-west flow capacity and reduce snitt 2 bottlenecks. Bar chart MW values are approximate."
svk_stockholm,Region Stockholm,SE3,SE,2025-09-30,700,620,balanced,Figur 18,50,estimated,"Source narrative explicitly notes: 'Redan i dag är elanvändningen så hög att ytterligare ökningar inte kan beviljas med det nuvarande stamnätet.' Already today consumption is so high that additional increases cannot be granted with the current transmission grid. Both Stockholms Ström and Storstockholm Väst projects address this. Bar chart MW values are approximate."
svk_vastmanland_uppsala,Regionerna Västmanland och Uppsala,SE3,SE,2025-09-30,1900,2050,balanced,Figur 20,52,estimated,"Both regions identified as suitable for new dispatchable production — area near Forsmark especially. Capacity needs to grow over snitt 2 and within SE3. Bar chart MW values are approximate."
svk_sormland_ostergotland,Regionerna Sörmland och Östergötland,SE3,SE,2025-09-30,500,950,consumption_dominant_moderate,Figur 23,55,estimated,"Both surplus regions today (production exceeds consumption). New industrial and energy-intensive consumption growing. Bar chart MW values are approximate."
svk_halland_vastra_gotaland,Region Halland och Västra Götalandsregionen,SE3;SE4,SE,2025-09-30,3500,2050,production_dominant_heavy,Figur 25,57,estimated,"Production queue dominated by offshore wind + onshore wind + solar; consumption queue from green industrial transformation. Halland's electricity consumption expected to grow up to 70% by 2040. Bar chart MW values are approximate."
svk_kronoberg_kalmar_jonkoping_gotland,Regionerna Kronoberg Kalmar län Jönköpings län och Gotland,SE3;SE4,SE,2025-09-30,360,50,production_dominant_moderate,Figur 27,60,estimated,"Driven primarily by inquiries for solar and wind (onshore + offshore) plus energy storage. Gotland will eventually be connected to the transmission grid via new submarine cables (220 kV, 220 MW each). Bar chart MW values are approximate."
svk_skane_blekinge,Regionerna Skåne och Blekinge,SE4,SE,2025-09-30,17,33,small_queue,Figur 29,62,estimated,"Smallest queue in the country — both production and consumption requests under 50 MW per the chart. However Skåne is a deficit area that needs to import electricity to meet demand; long-term load supply to Malmö requires capacity expansion regardless of queue size. Bar chart MW values are approximate."
